Locs,long,lat,locale
1817MZ_HB_MT_Sapezal,-58.768616,-12.956383,Amazonica
CHUNB38982_HB_TO_Arraias,-46.980510,-12.677060,Araguaia_Tocantins
CHUNB40618_HB_Mateiros_TO,-46.670534,-19.633428,Araguaia_Tocantins
CHUNB40619_HB_TO_Mateiros,-46.670534,-19.633428,Araguaia_Tocantins
CHUNB52057_HB_MA_Carolina,-47.292389,-7.176517,Araguaia_Tocantins
CHUNB63637_HB_MT_Xavantina,-52.358478,-14.664401,Araguaia_Tocantins
MZUSP15560_HB_TO,-48.38556,-12.23778,Araguaia_Tocantins
MZUSP17831_HB_MT_Itauba,-55.279083,-11.043647,Amazonica
MZUSP20580_HB_RO_Mutum,-65.447084,-9.642109,Amazonica
UFMT7550_HB_MT_Tangara,-58.3104,-14.4346,La_Plata
UFMT7551_HB_MT_Tangara,-58.3104,-14.4346,La_Plata